,method,problem,tol,dt,quad_nodes,nvars,new_max,sdc_sum,new_sum,norm
72,sdc_newton,fisher,1e-12,0.0005,2,63,1,1000,800,2.4554903378520843e-05
73,sdc_newton,fisher,1e-12,0.0005,2,63,2,1000,1600,2.4554903378631865e-05
74,sdc_newton,fisher,1e-12,0.0005,2,63,3,1000,1800,2.4554903378631865e-05
75,sdc_newton,fisher,1e-12,0.0005,2,63,5,1000,1800,2.4554903378631865e-05
76,sdc_newton,fisher,1e-12,0.0005,2,63,10,1000,1800,2.4554903378631865e-05
77,sdc_newton,fisher,1e-12,0.0005,2,63,30,1000,1800,2.4554903378631865e-05
78,sdc_newton,fisher,1e-12,0.0005,2,127,1,1399,1199,6.161687253619652e-06
79,sdc_newton,fisher,1e-12,0.0005,2,127,2,1399,2398,6.161687253619652e-06
80,sdc_newton,fisher,1e-12,0.0005,2,127,3,1399,2798,6.161687253619652e-06
81,sdc_newton,fisher,1e-12,0.0005,2,127,5,1399,2798,6.161687253619652e-06
82,sdc_newton,fisher,1e-12,0.0005,2,127,10,1399,2798,6.161687253619652e-06
83,sdc_newton,fisher,1e-12,0.0005,2,127,30,1399,2798,6.161687253619652e-06
84,sdc_newton,fisher,1e-12,0.0005,2,255,1,1799,1599,1.541295232443396e-06
85,sdc_newton,fisher,1e-12,0.0005,2,255,2,1800,3200,1.541295232498907e-06
86,sdc_newton,fisher,1e-12,0.0005,2,255,3,1800,3629,1.541295232498907e-06
87,sdc_newton,fisher,1e-12,0.0005,2,255,5,1800,3629,1.541295232498907e-06
88,sdc_newton,fisher,1e-12,0.0005,2,255,10,1800,3629,1.541295232498907e-06
89,sdc_newton,fisher,1e-12,0.0005,2,255,30,1800,3629,1.541295232498907e-06
90,sdc_newton,fisher,1e-12,0.0005,3,63,1,1000,800,2.455490247774139e-05
91,sdc_newton,fisher,1e-12,0.0005,3,63,2,1000,1600,2.4554902477796903e-05
92,sdc_newton,fisher,1e-12,0.0005,3,63,3,1000,1800,2.4554902477796903e-05
