,method,problem,tol,dt,quad_nodes,nvars,new_max,sdc_sum,new_sum,norm
53,sdc_newton,allencahn,1e-12,0.0005,9,"(256, 256)",100,392,951,1.694200335577989e-13
54,sdc_newton,allencahn,1e-12,5e-05,5,"(64, 64)",1,1027,1027,2.27945440300914e-12
55,sdc_newton,allencahn,1e-12,5e-05,5,"(64, 64)",2,1027,2054,2.0159984792655905e-12
56,sdc_newton,allencahn,1e-12,5e-05,5,"(64, 64)",3,1027,2421,2.0159984792655905e-12
57,sdc_newton,allencahn,1e-12,5e-05,5,"(64, 64)",5,1027,2422,2.0159984792655905e-12
58,sdc_newton,allencahn,1e-12,5e-05,5,"(64, 64)",7,1027,2422,2.0159984792655905e-12
59,sdc_newton,allencahn,1e-12,5e-05,5,"(64, 64)",100,1027,2422,2.0159984792655905e-12
60,sdc_newton,allencahn,1e-12,5e-05,5,"(128, 128)",1,1054,1054,4.915234885771724e-13
61,sdc_newton,allencahn,1e-12,5e-05,5,"(128, 128)",2,1044,2088,2.4165114353991157e-12
62,sdc_newton,allencahn,1e-12,5e-05,5,"(128, 128)",3,1044,2446,2.4165114353991157e-12
63,sdc_newton,allencahn,1e-12,5e-05,5,"(128, 128)",5,1044,2447,2.4165114353991157e-12
64,sdc_newton,allencahn,1e-12,5e-05,5,"(128, 128)",7,1044,2447,2.4165114353991157e-12
65,sdc_newton,allencahn,1e-12,5e-05,5,"(128, 128)",100,1044,2447,2.4165114353991157e-12
66,sdc_newton,allencahn,1e-12,5e-05,5,"(256, 256)",1,1103,1103,2.820244038304054e-13
67,sdc_newton,allencahn,1e-12,5e-05,5,"(256, 256)",2,1052,2104,2.4666380049609415e-12
68,sdc_newton,allencahn,1e-12,5e-05,5,"(256, 256)",3,1052,2462,2.4665824938097103e-12
69,sdc_newton,allencahn,1e-12,5e-05,5,"(256, 256)",5,1052,2463,2.4665824938097103e-12
70,sdc_newton,allencahn,1e-12,5e-05,5,"(256, 256)",7,1052,2463,2.4665824938097103e-12
71,sdc_newton,allencahn,1e-12,5e-05,5,"(256, 256)",100,1052,2463,2.4665824938097103e-12
72,sdc_newton,allencahn,1e-12,5e-05,7,"(64, 64)",1,1019,1019,1.7619239400801234e-13
73,sdc_newton,allencahn,1e-12,5e-05,7,"(64, 64)",2,1019,2038,1.9834134334928422e-13
74,sdc_newton,allencahn,1e-12,5e-05,7,"(64, 64)",3,1019,2401,1.9845236565174673e-13
75,sdc_newton,allencahn,1e-12,5e-05,7,"(64, 64)",5,1019,2402,1.9845236565174673e-13
76,sdc_newton,allencahn,1e-12,5e-05,7,"(64, 64)",7,1019,2402,1.9845236565174673e-13
77,sdc_newton,allencahn,1e-12,5e-05,7,"(64, 64)",100,1019,2402,1.9845236565174673e-13
78,sdc_newton,allencahn,1e-12,5e-05,7,"(128, 128)",1,1040,1040,2.3991919562149633e-13
79,sdc_newton,allencahn,1e-12,5e-05,7,"(128, 128)",2,1040,2080,2.158828671383617e-13
80,sdc_newton,allencahn,1e-12,5e-05,7,"(128, 128)",3,1040,2436,2.1593837828959295e-13
81,sdc_newton,allencahn,1e-12,5e-05,7,"(128, 128)",5,1040,2437,2.1593837828959295e-13
82,sdc_newton,allencahn,1e-12,5e-05,7,"(128, 128)",7,1040,2437,2.1593837828959295e-13
83,sdc_newton,allencahn,1e-12,5e-05,7,"(128, 128)",100,1040,2437,2.1593837828959295e-13
84,sdc_newton,allencahn,1e-12,5e-05,7,"(256, 256)",1,1060,1060,2.582378755278114e-13
85,sdc_newton,allencahn,1e-12,5e-05,7,"(256, 256)",2,1060,2120,2.1788126858268697e-13
86,sdc_newton,allencahn,1e-12,5e-05,7,"(256, 256)",3,1060,2476,2.1788126858268697e-13
87,sdc_newton,allencahn,1e-12,5e-05,7,"(256, 256)",5,1060,2477,2.1788126858268697e-13
88,sdc_newton,allencahn,1e-12,5e-05,7,"(256, 256)",7,1060,2477,2.1788126858268697e-13
89,sdc_newton,allencahn,1e-12,5e-05,7,"(256, 256)",100,1060,2477,2.1788126858268697e-13
90,sdc_newton,allencahn,1e-12,5e-05,9,"(64, 64)",1,1022,1022,1.9435009157575678e-12
91,sdc_newton,allencahn,1e-12,5e-05,9,"(64, 64)",2,1021,2042,1.8581247651638932e-12
92,sdc_newton,allencahn,1e-12,5e-05,9,"(64, 64)",3,1021,2399,1.8580137428614307e-12
93,sdc_newton,allencahn,1e-12,5e-05,9,"(64, 64)",5,1021,2400,1.8580137428614307e-12
94,sdc_newton,allencahn,1e-12,5e-05,9,"(64, 64)",7,1021,2400,1.8580137428614307e-12
95,sdc_newton,allencahn,1e-12,5e-05,9,"(64, 64)",100,1021,2400,1.8580137428614307e-12
96,sdc_newton,allencahn,1e-12,5e-05,9,"(128, 128)",1,1038,1038,2.3401003357292893e-12
97,sdc_newton,allencahn,1e-12,5e-05,9,"(128, 128)",2,1038,2076,2.2165047575128938e-12
98,sdc_newton,allencahn,1e-12,5e-05,9,"(128, 128)",3,1038,2426,2.2165325130885094e-12
99,sdc_newton,allencahn,1e-12,5e-05,9,"(128, 128)",5,1038,2427,2.2165325130885094e-12
100,sdc_newton,allencahn,1e-12,5e-05,9,"(128, 128)",7,1038,2427,2.2165325130885094e-12
101,sdc_newton,allencahn,1e-12,5e-05,9,"(128, 128)",100,1038,2427,2.2165325130885094e-12
102,sdc_newton,allencahn,1e-12,5e-05,9,"(256, 256)",1,1131,1131,1.168454222266746e-12
103,sdc_newton,allencahn,1e-12,5e-05,9,"(256, 256)",2,1131,2262,1.8631207687747064e-12
104,sdc_newton,allencahn,1e-12,5e-05,9,"(256, 256)",3,1131,2614,1.858069254012662e-12
105,sdc_newton,allencahn,1e-12,5e-05,9,"(256, 256)",5,1131,2615,1.858069254012662e-12
106,sdc_newton,allencahn,1e-12,5e-05,9,"(256, 256)",7,1131,2615,1.858069254012662e-12
107,sdc_newton,allencahn,1e-12,5e-05,9,"(256, 256)",100,1131,2615,1.858069254012662e-12
